title,url,price,rating,review_count,seller,search_term,scraped_at,is_suspicious,suspicion_reasons,ai_prediction,ai_confidence,ai_probabilities,risk_score,risk_level
"Cartucho Hp 667 Original 3ym79ab Preto p/Deskjet 2376, 2776, 6476, 5076, 5276",https://www.amazon.com.br/s?k=cartucho+HP+667&__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss#,63.0,4.7,,(13 mil),,2025-09-21 23:27:35,False,[],COMPATIVEL,0.45,"[0.45, 0.44, 0.11]",2,MÉDIO
Valuetoner Cartuchos de Tinta para 667 667XL 667 XL Compatível com DeskJet Ink Advantage 2374 1275 2375 2376 2775 2776e DeskJet Plus 6475 6476 6075 (1 Preto 1 Colorido),https://www.amazon.com.br/s?k=cartucho+HP+667&__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss#,176.0,4.4,,"(25,6 mil)",,2025-09-21 23:27:35,True,"[""Palavra-chave suspeita: 'compatível'""]",COMPATIVEL,0.49,"[0.49, 0.24, 0.27]",2,MÉDIO
"Kit 4 Cartuchos de Tintas 667/2 unid. Preto e 2 unid. Colorido para Impressora, Conjunto de 4, combo, black, color, tricolor, preço, do mercado, bk, cl.",https://www.amazon.com.br/s?k=cartucho+HP+667&__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss#,299.0,2.9,,(2),,2025-09-21 23:27:35,False,[],COMPATIVEL,0.58,"[0.58, 0.25, 0.17]",3,MÉDIO
Kit Recarga Compatível Com Impressora 2776 Cartucho 667,https://www.amazon.com.br/s?k=cartucho+HP+667&__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss#,84.0,5.0,,(1),,2025-09-21 23:27:35,True,"[""Palavra-chave suspeita: 'compatível'""]",COMPATIVEL,0.45,"[0.45, 0.22, 0.33]",2,MÉDIO
"Cartucho Hp 667 Original 3ym79ab Preto p/Deskjet 2376, 2776, 6476, 5076, 5276",https://www.amazon.com.br/Cartucho-HP-Preto-Original-3YM79AB/dp/B08WKPK952/ref=sr_1_5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-5&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,63.0,4.7,,(13 mil),,2025-09-21 23:27:35,False,[],COMPATIVEL,0.45,"[0.45, 0.44, 0.11]",2,MÉDIO
Kit 2 cartucho HP 667 Preto e Colorido,https://www.amazon.com.br/Kit-cartucho-667-Preto-Colorido/dp/B08Q1YQDHJ/ref=sr_1_6?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-6&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,144.0,4.7,,"(1,4 mil)",,2025-09-21 23:27:35,False,[],COMPATIVEL,0.58,"[0.58, 0.21, 0.21]",2,MÉDIO
KIT 2 CARTUCHO DE TINTA HP 667 PRETO E COLOR ORIGINAL 3YM78L DESKJET INK ADVANTAGE 2776,https://www.amazon.com.br/CARTUCHO-HP-ORIGINAL-DESKJET-ADVANTAGE/dp/B005MYZ9A0/ref=sr_1_7?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-7&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,135.0,4.7,,(392),,2025-09-21 23:27:36,False,[],ORIGINAL,0.52,"[0.34, 0.52, 0.14]",1,BAIXO
"Cartucho de Tinta HP, 667 3Ym78AL Color 29290",https://www.amazon.com.br/Cartucho-Tinta-HP-3Ym78AL-Color/dp/B00I3FMUZ2/ref=sr_1_8?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-8&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,65.0,4.8,,"(2,3 mil)",,2025-09-21 23:27:36,False,[],COMPATIVEL,0.52,"[0.52, 0.27, 0.21]",2,MÉDIO
Cartucho HP 667XL Preto Original (3YM81AL),https://www.amazon.com.br/Cartucho-HP-667XL-Original-3YM81AL/dp/B08C1XPJGP/ref=sr_1_9?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-9&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,149.0,4.8,,"(2,2 mil)",,2025-09-21 23:27:36,False,[],ORIGINAL,0.45,"[0.41, 0.45, 0.14]",1,BAIXO
Cartucho HP 667 Preto Original (3YM79AL),https://www.amazon.com.br/Cartucho-HP-Preto-Original-3YM79AL/dp/B08C1VQ76Y/ref=sr_1_10?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-10&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,89.0,4.7,,(3 mil),,2025-09-21 23:27:36,False,[],COMPATIVEL,0.43,"[0.43, 0.42, 0.15]",2,MÉDIO
Valuetoner Cartuchos de Tinta para 667 667XL 667 XL Compatível com DeskJet Ink Advantage 2374 1275 2375 2376 2775 2776e DeskJet Plus 6475 6476 6075 (1 Preto 1 Colorido),https://www.amazon.com.br/Valuetoner-Cartuchos-667XL-Compat%C3%ADvel-Advantage/dp/B0DPHMK9HV/ref=sr_1_11?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-11&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,176.0,4.4,,"(25,6 mil)",,2025-09-21 23:27:36,True,"[""Palavra-chave suspeita: 'compatível'""]",COMPATIVEL,0.49,"[0.49, 0.24, 0.27]",2,MÉDIO
Cartucho HP - 667XL Colorido Original (3YM80AL),https://www.amazon.com.br/Cartucho-HP-Colorido-Original-3YM80AL/dp/B08C28F87W/ref=sr_1_12?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-12&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,149.0,4.8,,(973),,2025-09-21 23:27:36,False,[],ORIGINAL,0.47,"[0.38, 0.47, 0.15]",1,BAIXO
"Cartucho de Tinta 667 Preto e Colorido para Impressora, Conjunto de 2",https://www.amazon.com.br/Cartucho-Tinta-Colorido-Impressora-Conjunto/dp/B0DX444M3M/ref=sr_1_13?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-13&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,162.0,5.0,,(1),,2025-09-21 23:27:36,False,[],COMPATIVEL,0.51,"[0.51, 0.27, 0.22]",2,MÉDIO
Kit com 02 Cartuchos H.P 667 - Preto e Colorido,https://www.amazon.com.br/Kit-com-Cartuchos-H-P-667/dp/B0DZD6SBYJ/ref=sr_1_14?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-14&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,165.0,4.7,,(4),,2025-09-21 23:27:36,False,[],COMPATIVEL,0.68,"[0.68, 0.18, 0.14]",2,MÉDIO
"Kit Cartucho de Tinta 667 Preto e Colorido para Impressora, Conjunto de 2, combo, black, color, tricolor, preço, do mercado, bk, cl.",https://www.amazon.com.br/Cartucho-667-Colorido-Impressora-Conjunto/dp/B0F6NQ2SSL/ref=sr_1_15?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-15&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,168.0,5.0,,(3),,2025-09-21 23:27:36,False,[],COMPATIVEL,0.49,"[0.49, 0.29, 0.22]",2,MÉDIO
Kit Recarga Cartucho Compatível com Impressora 2700 2774 2776 Deskjet Advantage 667,https://www.amazon.com.br/Recarga-Cartucho-Compat%C3%ADvel-Impressora-Advantage/dp/B0CKCYRKHP/ref=sr_1_16?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-16&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,79.0,4.0,,(4),,2025-09-21 23:27:36,True,"[""Palavra-chave suspeita: 'compatível'""]",COMPATIVEL,0.42,"[0.42, 0.3, 0.28]",2,MÉDIO
"Kit 4 Cartuchos de Tintas 667/2 unid. Preto e 2 unid. Colorido para Impressora, Conjunto de 4, combo, black, color, tricolor, preço, do mercado, bk, cl.",https://www.amazon.com.br/Cartuchos-667-Colorido-Impressora-Conjunto/dp/B0F7S5RW5R/ref=sr_1_17?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-17&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,299.0,2.9,,(2),,2025-09-21 23:27:37,False,[],COMPATIVEL,0.58,"[0.58, 0.25, 0.17]",3,MÉDIO
Cartucho Compatível HP 667XL Preto 14ml + Colorido 13ml para DeskJet 2774 2722 2376 Printech + Microjet 100% novo,https://www.amazon.com.br/Cartucho-Compat%C3%ADvel-667XL-Colorido-Printech/dp/B0FCPC9293/ref=sr_1_18?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-18&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,229.0,,,Amazon.com.br,,2025-09-21 23:27:37,True,"[""Palavra-chave suspeita: 'compatível'""]",COMPATIVEL,0.38,"[0.38, 0.33, 0.29]",3,MÉDIO
"667XL 667 XL preto e colorido de substituição para HP 667 XL 667 cartuchos de tinta para Deskjet Ink Advantage 1275 2375, DeskJet2775, 1275 2374 2375 2376 2775 2776 6075 6475 6476 Impressoras (1",https://www.amazon.com.br/667-substitui%C3%A7%C3%A3o-cartuchos-DeskJet2775-Impressoras/dp/B0DW3LHS36/ref=sr_1_19?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.9zzyGXgH6QMHIwa_KE7dPqjeV1q4XyoLGIJ3iKPBDXtPoX3EADNs2IaEc-Vm-f2ScE8OwhM01PtQ0bEIQORttArf3YHXZWPv7fuUafujFz8M95VnxmeO6zN_LaJ8HhRmjUjL7ntoDLv8GqTooUgye070CyhHj5Aa4z7NyEg8RSML9I4yxHwEOO8N1rqx2Dnh_41FXxX6uQgaPsaQ0FrtTuVmKIQrlqx8cfaDHrO8ilBNbNt1Woo6wytfHS5P-w7Q2sGY7VRCg2BIv2nCUy3n3VppQCjo4oeclLw6te32-j4.vuAXWV-Erv-rGPa2JX4UDkgw26wEID254yHSqy9trO0&dib_tag=se&keywords=cartucho+HP+667&qid=1758508510&sr=8-19&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,343.0,4.2,,(24),,2025-09-21 23:27:37,False,[],COMPATIVEL,0.6,"[0.6, 0.24, 0.16]",3,MÉDIO
